plain_language_program_name,language,get_help_summary,how_to_apply_or_enroll_by_1,office_locations_url
কর্মরত ব্যক্তি এবং পরিবারের জন্য কর ক্রেডিট,Bengali,"\nআপনি দাবি করতে পারেন এমন ট্যাক্স ক্রেডিটগুলি (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) সম্বন্ধে আরও জানুন।\nনিকটতম স্বেচ্ছাসেবক আয়কর সহায়তা (Volunteer Income Tax Assistance, VITA) বা বয়স্কদের জন্য ট্যাক্স কাউন্সেলিং (Tax Counseling for the Elderly, TCE) খুঁজতে 800-906-9887 নম্বরে ফোন করুন।",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Zamrożenie wysokości czynszu dla osób starszych,Polish,"\nAby dowiedzieć się więcej o programie, odwiedź stronę internetową SCRIE (http://nyc.gov/rentfreeze) .\nSprawdź często zadawane pytania dotyczące programów SCRIE i DRIE podczas pandemii COVID-19 (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) .\n (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) Wyślij e-mail dotyczący programu SCRIE (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) , aby uzyskać więcej informacji\nZadzwoń pod numer 311 i poproś o specjalistę od programu SCRIE lub zadzwoń pod numer 212-639-9675, jeśli masz problemy ze słuchem.W przypadku programu SCRIE nadzorowanego przez HPD:\nJeśli chcesz złożyć wniosek lub mieszkasz w budynku Mitchell-Lama lub Redevelopment Company, możesz uzyskać więcej informacji, pisząc na adres e-mail HPD.\nOdwiedź stronę internetową HPD, aby dowiedzieć się więcej, lub zadzwoń pod numer 212-863-8494 w razie jakichkolwiek pytań.","Mieszkańcy budynków Mitchell-Lama lub Redevelopment Company mogą wnioskować o udział w programie SCRIE nadzorowanym przez HPD, dzwoniąc pod numer HPD 212-863-8494.",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Exención del impuesto sobre la propiedad para veteranos,Spanish,\nVisite el sitio web de Exención de Veteranos (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page)  para obtener más información.\nEnvíe un correo electrónico al (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) Departamento de Finanzas si tiene preguntas sobre este programa\nLlame al 311 y pregunte sobre la Exención de Veteranos si tiene alguna pregunta sobre el programa.,,
Tax refund if you paid for child and dependent care,English,\nLearn about tax credits (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) that you can claim.\nCall 800-906-9887 to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE).,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Una exención tributaria a la propiedad para neoyorquinos discapacitados,Spanish,"\nVisite un (https://access.nyc.gov/locations/?lat=6864) Centro de Negocios del Departamento de Finanzas (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page) (lunes a viernes, 8:30 a.m. - 4:30 p.m.) para recibir ayuda en persona.\nPara obtener más información, visite el sitio web de DHE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) .\nLlame al DHE al 212-NEW-YORK, o al 212-639-9675 (fuera de la ciudad), o TTY 212-639-9675 (personas con discapacidades auditivas).\nEnvíe un correo electrónico al DHE  para obtener más información.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Налоговый вычет для работающих лиц и семей,Russian,"\nУзнайте подробнее о налоговых вычетах, (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) на которые вы можете претендовать.\nПозвоните по номеру 800-906-9887, чтобы узнать адрес ближайшего пункта Программы оказания безвозмездной помощи по вопросам подоходного налогообложения (Volunteer Income Tax Assistance, VITA) или Программы консультаций по вопросам налогообложения для пожилых людей (Tax Counseling for the Elderly, TCE).",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
আপনার প্রয়োজন অনুযায়ী মাসিক নগদ সাহায্য,Bengali,\nএই কর্মসূচি সম্পর্কে আরও জানতেনগদ সহায়তা ওয়েবসাই (http://www1.nyc.gov/site/hra/help/cash-assistance.page) যান।\nআরো তথ্যের জন্য HRA ইনফোলাইনে 718-557-1399 নম্বরে ফোন করুন।,,{'url': 'http://www1.nyc.gov/site/hra/locations/job-locations.page'}
저소득층 가정의 3~4세를 대상으로 한 보육 및 교육,Korean,\nHead Start에 관한 자세한 사항은 NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) 에서 확인하실 수 있습니다.\n프로그램을 찾는 데 도움이 필요하시면 311번으로 전화해 “Head Start”에 대해 문의해 주십시오.,,
생후 6주부터 2세 사이의 어린이를 대상으로 한 무료 또는 저비용 보육,Korean,\nEarlyLearn에 관한 자세한 사항은 NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/earlylearn-nyc) 에서 확인하십시오.\n311번으로 전화. 프로그램을 찾는 데 도움이 필요하시면 전화로 “EarlyLearn”에 대해 문의해주십시오.,,{'url': 'https://www.myschools.nyc/ko/schools/3k/'}
장애가 있는 뉴욕 주민들을 위한 재산세 지원,Korean,"\n내방하여 도움을 받으시려면 Department of Finance 비즈니스 센터 (http://www1.nyc.gov/site/finance/pay-now/person.page) (월요일~금요일, 오전 8시 30분~오후 4시 30분)에 방문해 주십시오.\n자세한 내용은 DHE 웹 사이트 (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page) 에서 확인할 수 있습니다.\nDHE에 212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) 또는 212-639-9675(시외) 또는 TTY: 212-639-9675(청각 장애인)번으로 전화해 주십시오.\n자세한 내용을 확인하려면 DHE로 이메일을 보내주십시오.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
학생들을 위한 방과 후 프로그램,Korean,"온라인COMPASS에 관한 자세한 사항은 (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD에서 알아보십시오.전화DYCD Youth Connect(800-246-4646 또는 646-343-6800)로 전화하십시오. 자녀가 다니는 학교의 방과후 프로그램 담당 직원에게 자세한 사항을 문의하실 수도 있습니다.311번으로 전화“Comprehensive After School Program assistance(종합 방과 후 시스템 지원)""에 관해 문의하십시오.",,
Obniżenie wysokości podatku od nieruchomości dla właścicieli domów,Polish,"\nWejdź na stronę internetową STAR, (https://tax.ny.gov/pit/property/star/default.htm) aby uzyskać więcej informacji.\nZadzwoń pod numer 311 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) , aby uzyskać więcej informacji.\nW razie pytań na temat programu STAR wyślij e-mail do NYC Department of Finance (Departament Finansów w Nowym Jorku).\nSkontaktuj się z Departamentem Podatków i Finansów Stanu Nowy Jork pod numerem 518-457-2036 Aby uzyskać więcej informacji na temat ulgi podatkowej STAR stanu Nowy Jork,","Jeśli Twój dochód jest większy niż 250 000 USD i mniejszy lub równy 500 000 USD, możesz zarejestrować się online w celu uzyskania ulgi podatkowej STAR stanu Nowy Jork (https://www.tax.ny.gov/pit/property/star/) lub dzwoniąc pod numer 518-457-2036.",
"Налоговые льготы на недвижимость для жителей г. Нью-Йорка, имеющих инвалидность",Russian,"\nЧтобы получить помощь лично, (https://access.nyc.gov/locations/?lat=6864) посетите один из бизнес-центров Департамента финансов (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page) (часы работы: с понедельника по пятницу, с 8:30 до 16:30).\nПодробную информацию можно получить на сайте программы DHE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) .\nПозвоните в программу DHE по телефону 212-NEW-YORK или 212-639-9675 (извне города Нью-Йорка) или по телетайпу (TTY) 212-639-9675 (для лиц с нарушениями слуха).\nНапишите в программу DHE по электронной почте для получения подробной информации.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
Preskolè gratis pou timoun ki gen 4 tran.,Haitian Creole,\nAle sou sitwèb Pre-K NYC DOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) a pou w jwenn plis enfòmasyon sou pwosesis admisyon pwogram pre-K a.\nRele nan 718-935-2009 (mailto:ESEnrollment@schools.nyc.gov) si ou gen kesyon sou pwosesis admisyon pwogram pre-K a\nVoye yon imèl bay Pre-K admissions sou ESEnrollment@schools.nyc.gov (http://nyc.gov/schools/welcomecenters) si ou genyen kesyon sou fason pou antre nan pwogram pre-K a.\nAle nan yon Sant Akèy pou Fanmi pou w jwenn plis enfòmasyon sou pwogram pre-K yo.,\nRele nan 718-935-2009 pou w enskri nan telefòn.Aplike soti 10 Janvye 2024 pou rive 1ye Mas 2024.\nSèvis entèpretasyon disponib nan plis pase 200 lang.,
Замораживание арендной платы для нетрудоспособных граждан,Russian,"Посетите веб-сайтыЧтобы получить подробную информацию, посетите веб-сайт программы г. Нью-Йорка по освобождению от повышения арендной платы (http://www1.nyc.gov/site/rentfreeze/index.page) .Ознакомьтесь с часто задаваемыми вопросами (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) по Программе освобождения от повышения арендной платы на период пандемии COVID-19.Обратитесь в DRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) Обратитесь за помощью в Департамент финансов.Обратитесь в DRIE через телетайпЗвоните по номеру 212-639-9675, если у вас проблемы со слухом.Позвоните по номеру 311Спросите специалиста по DRIE.","Если вы проживаете в квартире, принадлежащей кооперативу собственников жилья (HDFC), или в жилом комплексе Mitchell-Lama, для оформления заявления позвоните в Департамент по сохранению и развитию жилищного фонда (HPD) по телефону 212-863-8494.",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
난방비 및 공과금 비용 지원,Korean,\n이 프로그램에 대해 자세히 알아보려면 HEAP에 대한 OTDA 웹사이트 (https://otda.ny.gov/programs/heap/) 를 방문하십시오.\nHEAP에 도움이 필요한 경우 718-557-1399번으로 전화하십시오.\n311번에 전화하여 가정용 에너지 지원 프로그램과 관련하여 도움을 청하십시오.,2024~2025년 응급 혜택 신청은 2025년 4월 7일에 마감되었습니다. 일반 HEAP 혜택은 휴대전화로 신청할 수 없습니다.718-557-1399번으로 전화하여 응급 혜택을 신청하거나 신청 상태를 확인하십시오. 먼저 HEAP 일반 혜택을 신청하고 이에 대한 승인을 받아야 합니다.,{'url': 'https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result'}
學生課後計劃,Chinese (Traditional),線上透過 (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD 瞭解關於 COMPASS 的更多資訊。致電請撥打 800-246-4646 或 646-343-6800 與 DYCD 青年聯合會聯絡。您也可以與您子女就讀學校的課後計畫工作人員交談，以瞭解更多資訊。致電 311詢問「綜合課後計畫輔助」。,,
Property tax break for veterans,English,"\nVisit the Veterans' Exemption website (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) for more information.\nCall 212-NEW-YORK (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) . For TTY or Text Telephone, call 212-639-9675\nEmail the Department of Finance if you have questions about this program.",,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
بچوں والے خاندانوں کے لیے ٹیکس کریڈٹ,Urdu,"\nNYC کا محکمہ برائے صارفین اور کارکنان کا تحفظ (Department of Consumer and Worker Protection, DCWP) (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) سے دیگر ٹیکس کریڈٹس کے بارے میں مزید جانیں۔\nقریب ترین رضاکارانہ انکم ٹیکس میں معاونت (Volunteer Income Tax Assistance, VITA) یا بزرگ افراد کیلئے ٹیکس سے متعلق مشاورت (Tax Counseling for the Elderly, TCE) حاصل کرنے کیلئے 9877-906-800 پر کال کریں۔",,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
কম আয় থাকা পরিবারের 3-4 বছর বয়সী শিশুদের পরিচর্যা এবং শিক্ষা,Bengali,"\nনিউ ইয়র্ক সিটি শিক্ষা বিভাগ (New York City Department of Education, NYCDOE) (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) থেকে হেড স্টার্ট প্রোগ্রাম সম্পর্কে আরও জানুন।\nএকটি প্রোগ্রাম খুঁজে পেতে সাহায্যের প্রয়োজন হলে 311 নম্বরে কল করুন এবং ""হেড স্টার্ট"" বলুন।",,
Программы послешкольных занятий для учащихся,Russian,"Через ИнтернетУзнайте больше о COMPASS на веб-странице (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD.По телефонуПозвоните в службу Youth Connect при DYCD по номеру 800-246-4646 или 646-343-6800. Чтобы получить дополнительную информацию, вы также можете поговорить с представителем внеклассной программы в школе, которую посещает ваш ребенок.Позвоните по номеру 311Спросите о «комплексной программе внеклассного обучения» (Comprehensive After School Program).",,
بزرگ افراد کے کرایہ میں اضافہ نہ کرنا,Urdu,\nاس پروگرام کے بارے میں مزید جاننے کے لیے SCRIE کی ویب سائٹ (http://nyc.gov/rentfreeze) ملاحظہ کریں۔\nکرایہ منجمد کرنے کے پروگرام (SCRIE اور DRIE) اور COVID-19 سے متعلق اکثر پوچھے گئے سوالات (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) کا جائزہ لیں۔\nمزید معلومات کے لیے (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) SCRIE کو ای میل کریں (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) \n311 پر کال کریں اور SCRIE کے ماہر یا 9675-639-212 کے بارے میں پوچھیں اگر آپ کو سننے میں دشواری ہو رہی ہے۔HPD کی زیر نگرانی SCRIE کیلئے:\nاگر آپ Mitchell-Lama یا Redevelopment کمپنی ڈیولپمنٹ میں درخواست دینا یا رہنا چاہتے ہیں یا آپ کو مزید معلومات چاہئیں تو HPD کو ای میل کریں۔ \nمزید جاننے کیلئے HPD کی ویب سائٹ ملاحظہ کریں یا کسی بھی سوال کیلئے 212-863-8494 پر کال کریں۔,اگر آپ Mitchell-Lama یا Redevelopment کمپنی ڈویلپمنٹ کی رہائش میں رہتے ہیں تو HPD کے زیر نگرانی SCRIE کیلئے درخواست دینے کے واسطے HPD کو8494-863-212 پر کال کریں۔,{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Estabilizasyon pri lwaye pou granmoun aje,Haitian Creole,\nAle sou sitwèb SCRIE a (http://nyc.gov/rentfreeze) pou aprann plis sou pwogram sa a.\nEgzamine Pwogram Rent Freeze lan (SCRIE ak DRIE) ak kesyon moun poze souvan yo (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) sou COVID-19.\n (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) Voye yon Imèl bay SCRIE (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) pou jwenn plis enfòmasyon\nRele 311 epi mande pou jwenn yon espesyalis SCRIE oswa 212-639-9675 si ou gen difikilte pou tandePou SCRIE HPD sipèvize:\nVoye imèl bay HPD si w vle aplike oswa si w ap viv nan devlopman Mitchell-Lama oswa Konpayi Redevlopman pou w jwenn plis enfòmasyon.\nAle sou sit entènèt HPD a pou aprann plis oswa rele nan 212-863-8494 for any questions si w gen nenpòt kesyon.,"Si w ap viv nan yon lojman devlopman Mitchell-Lama oswa nan Konpayi Redevlopman, rele HPD nan 212-863-8494 pou aplike pou SCRIE HPD sipèvize.",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
當您有需要時，每月提供現金幫助,Chinese (Traditional),\n造訪現金援助網站 (http://www1.nyc.gov/site/hra/help/cash-assistance.page) 以了解有關此計畫的更多資訊。\n致電 HRA 資訊熱線 718-557-1399 瞭解更多資訊。,,{'url': 'http://www1.nyc.gov/site/hra/locations/job-locations.page'}
Gel des loyers pour les seniors,French,"\nConsultez le site internet du SCRIE (http://nyc.gov/rentfreeze) pour en savoir plus sur ce programme.\nConsultez la foire aux questions (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) sur le programme de gel des loyers (SCRIE et DRIE) et la COVID-19.\n (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page) Envoyez un courriel à la SCRIE (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) pour obtenir davantage d’informations\nAppelez le 311 et demandez un spécialiste du SCRIE ou le 212 639 9675 si vous avez des problèmes d’auditionPour le SCRIE supervisé par le HPD :\nPour obtenir de plus amples informations, envoyez un courriel au HPD si vous souhaitez déposer une demande ou si vous vivez dans un logement social Mitchell-Lama ou Redevelopment Company.\nConsultez le site internet du HPD pour en savoir plus ou appeler le 212 863 8494 pour poser vos questions.","Si vous vivez dans un logement social Mitchell-Lama ou Redevelopment Company, appelez le HPD au 212 863 8494 pour déposer une demande de SCRIE supervisé par le HPD.",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
گھروں کے مالک مکانوں کے لیے جائیداد کے ٹیکسوں میں کمی,Urdu,\nمزید معلومات کے لیےSTAR ویب سائیٹ (https://tax.ny.gov/pit/property/star/default.htm)  ملاحظہ کریں۔\nمزید جاننے کے لیے 311 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) پر کال کریں۔\nاگر آپ کے STAR سے متعلق کوئی سوالات ہوں، تو NYC Department of Finance (ڈیپارٹمنٹ آف فنانس) کو ای میل کریں۔\nنیو یارک سٹیٹ اسٹار ٹیکس کریڈٹ کے بارے میں مزید معلومات کے لیے 2036-457-518 پر نیویارک اسٹیٹ ڈیپارٹمنٹ آف ٹیکسیشن اینڈ فنانس سے رابطہ کریں.,اگر آپ کی آمدنی $ 250،000 سے زیادہ ہے اور $ 500،000 سے کم یا اس کے برابر ہے ، آپ نیویارک اسٹیٹ اسٹار ٹیکس کریڈٹ کے لیے آن لائن رجسٹر کر سکتے ہیں (https://www.tax.ny.gov/pit/property/star/) یا 2036-457-518 پر کال کر کے۔,
근로자와 가족을 위한 세금 공제,Korean,,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
四歲兒童免費 Pre-K 計畫,Chinese (Traditional),\n造訪 NYC DOE Pre-K 網站 (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) ，深入瞭解 Pre-K 申請流程。\n如對 Pre-K 申請流程有任何疑問，請撥打 718-935-2009 (mailto:ESEnrollment@schools.nyc.gov) 。\n如對加入 Pre-K 有任何疑問，請傳送電子郵件至 ESEnrollment@schools.nyc.gov (http://nyc.gov/schools/welcomecenters) 。\n造訪家庭歡迎中心，深入瞭解 Pre-K 計畫。,\n撥打 718-935-2009 申請。申請時間為 2024 年 1 月 10 日至 2024 年 3 月 1 日。\n我們提供 200 多種語言的口譯服務。,
نیو یارک کے معذورباشندوں کے لیے جائیداد ٹیکس کا انقطاع,Urdu,\nبالمشافہ مدد حاصل کرنے کے لیے Department of Finance (ڈیپارٹمنٹ آف فنانس) بزنس سنٹر (http://www1.nyc.gov/site/finance/pay-now/person.page)   (پیر سے جمعہ، صبح 8:30 سے شام 4:30) میں تشریف لے جائیں۔\nمزید جاننے کے لیے DHE کی ویب سائیٹ (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page)  ملاحظہ فرمائیں۔\nDHE کو 9675-639-212 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) یا ٹی ٹی وائی 9675-639-212 (سماعتی کمزوری کے حامل افراد کے لیے) پر کال کریں۔\nمزید معلومات کے لیے DHE کو ای میل کریں۔,,{'url': 'http://www1.nyc.gov/site/finance/pay-now/person.page'}
"Argent destiné aux dépenses pour le chauffage et les charges (électricité, eau, gaz, téléphone, etc.)",French,\nConsultez le site internet de l’OTDA pour le programme HEAP (https://otda.ny.gov/programs/heap/) afin d’en savoir plus sur celui-ci.\nAppelez le 718 557 1399 pour bénéficier d’une aide de l’HEAP.\nAppelez le 311 et demandez de l’aide pour le Programme d’aide énergétique à domicile.,Les demandes d’allocation d’urgence 2024-2025 ont été clôturées le 7 avril 2025. Vous ne pouvez pas demander une prestation HEAP ordinaire par téléphone. Appelez le718 557 1399pour demander des allocations d’urgence ou pour connaître l’état de votre demande. Vous devez tout d’abord déposer une demande d’allocations HEAP ordinaires et celle-ci doit être approuvée.,{'url': 'https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result'}
Money for heat and utility expenses,English,\nVisit the OTDA website for HEAP (https://otda.ny.gov/programs/heap/) to learn more about this program.\nCall 718-557-1399 for help with HEAP.\nCall 311 and ask for assistance with the Home Energy Assistance Program.,"Applications for the 2024-25 Emergency Benefit closed on April 7, 2025. You can't apply for a Regular HEAP benefit by phone.Call 718-557-1399 to apply for Emergency benefits or to check the status of your application. You must first apply and be approved for the HEAP Regular Benefit.",{'url': 'https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result'}
الخصم الضريبي للأفراد العاملين والعائلات,Arabic,\nاعرف المزيد عن الائتمانات الضريبية (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) التي يمكنك المطالبة بها.\nاتصل بالرقم 9887-906-800 للعثور على أقرب مواقع لبرنامج المساعدة التطوعية لإعداد ضرائب الدخل (VITA) أو برنامج تقديم المشورة الضريبية لمقدمي الإقرار الضريبي من كبار السن (TCE).,,{'url': 'https://a866-dcwpwb.nyc.gov/ftps_map/'}
Zamrożenie wysokości czynszu dla osób z niepełnosprawnościami,Polish,"Odwiedź stronyAby dowiedzieć się więcej, odwiedź stronę internetową programu zamrożenia czynszów w mieście Nowy Jork (http://www1.nyc.gov/site/rentfreeze/index.page) .Zapoznaj się z odpowiedziami na często zadawane pytania (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) dotyczące programu zamrożenia czynszów w trakcie pandemii COVID-19.Kontakt z DRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) Uzyskaj pomoc od Departamentu Finansów.Skontaktuj się ze DRIE za pomocą systemu TTYJeśli masz problemy ze słuchem, zadzwoń pod numer 212-639-9675.Zadzwoń pod numer 311Poproś o rozmowę ze specjalistami od programu DRIE.","Osoby mieszkające w mieszkaniu Housing Development Fund Company (HDFC) (Fundusz Rozwoju Budownictwa) lub Mitchell-Lama, w celu złożenia wniosku powinny zadzwonić do HPD pod numer 212-863-8494.",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
Régimes d’assurance maladie privée,French,"Apprenez-en plus sur les options d’assurancemaladiePour en savoir plus sur les options qui s’offrent à vous,consultez le site Citywide Health InsuranceAccess de la HRA (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) .Demandez de l’aide pour l’inscriptionGetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) aideles New-Yorkais à souscrire une assurance maladie. Des spécialistesdédiés peuvent vous aider gratuitement dans votre langue.Demandez à un conseiller de vous appelerRemplissez un formulaire de demande d’aide à lasouscription d’une assurance maladie (https://nycdohmh.surveymonkey.com/r/7BB62M3) pour recevoir un appeld’un conseiller en matière d’inscription. Une aide gratuite àl’inscription est disponible quel que soit le statut d’immigrationet dans de nombreuses langues. Vos données seront tenuesconfidentielles.Appelez le 311Si vous avez des questions d’ordre général sur l’assurancemaladie et si vous souhaitez contacter un assistant enpersonne.","Appelez le NY State of Health au855 355 5777ou si vous êtes malentendant(e), veuillez composer le800 662 1220.",
ভাউচার যা আপনার ভাড়ার অংশ প্রদান করে,Bengali,\n (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) NYCHA-এর ওয়েবসাইট থেকে (https://wb-nycha.qmatic.cloud/) বিভাগ 8 সম্পর্কে আরও জানুন।\nNYCHA-এর গ্রাহক যোগাযোগ কেন্দ্রকে 718-707-7771 নম্বরে ফোন করুন।\nএকটি কাস্টমার কন্টাক্ট সেন্টারে যাওয়ার জন্য একটি অ্যাপয়েন্টমেন্ট নিন।,,
Monthly cash help when you are in need,English,\nVisit the Cash Assistance website (http://www1.nyc.gov/site/hra/help/cash-assistance.page) to learn more about this program.\nCall the HRA Infoline at 718-557-1399 for more information.,,{'url': 'http://www1.nyc.gov/site/hra/locations/job-locations.page'}
Pwogram apre lekòl pou elèv yo,Haitian Creole,"AnliyAprann plis bagay sou COMPASS nan (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD.Rele nouRele DYCD Youth Connect nan 800-246-4646 or 646-343-6800. Ou kapab pale tou avèk anplwaye pwogram aprè klas nan lekòl pitit ou a pou plis enfòmasyon.Rele 311Mande pou ""Asistans konplè pou Pwogram Aprè Klas.""",,
Estabilizasyon pri lwaye pou moun andikape,Haitian Creole,Ale sou sit entènèt yoAle sou sit entènèt Pwogram NYC Rent Freeze lan (http://www1.nyc.gov/site/rentfreeze/index.page) pou aprann plis.Egzamine kesyon moun poze souvan yo (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) pou Pwogram Rent Freeze la pandan COVID-19 la.Kontakte DRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) Mande èd nan Depatman Finans lan.Rele DRIE lè w itilize TTYRele 212-639-9675 si ou gen difikilte pou tande.Rele 311Mande pou jwenn espesyalis DRIE.,"Si w ap viv nan yon apatman Housing Development Fund Company (HDFC) oswa apatman Mitchell-Lama, rele HPD nan 212-863-8494 pou aplike.",{'url': 'https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page'}
کھانا خریدنے کے لیے رقم,Urdu,\nمزید معلومات کے لیے SNAP کی ویب سائیٹ (https://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page) ملاحظہ کریں۔\nSNAP کے لیے درخواست دینے میں مدد کے لیے HRA انفو لائن کو 1399-557-718 (https://www1.nyc.gov/site/hra/locations/snap-locations.page) پر کال کریں۔\nذاتی طور پر مدد حاصل کرنے کے لیے SNAP سنٹر (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) یا اپنی کمیونٹی پر مبنی تنظیم (CBO) میں جائیں۔,,{'url': 'https://www1.nyc.gov/site/hra/locations/snap-locations.page'}
Prywatne ubezpieczenia zdrowotne,Polish,"Dowiedz się więcej o opcjach ubezpieczeniazdrowotnegoDowiedz się więcej o dostępnych opcjach za pośrednictwembiura HRA ds. dostępu doubezpieczeń zdrowotnych na terenie miasta (Citywide HealthInsurance Access) (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) .Poproś o pomoc w rejestracjiGetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) pomaga nowojorczykom zapisać się na ubezpieczenie zdrowotne. Możeszbezpłatnie otrzymać pomoc specjalistów w swoim języku.Poproś o telefon doradcyWypełnij formularz wniosku o pomoc w zapisie naubezpieczenie zdrowotne (Health Insurance Enrollment AssistanceInquiry Form) (https://nycdohmh.surveymonkey.com/r/7BB62M3) , aby otrzymać telefon od doradcy ds. rejestracji.Bezpłatna pomoc w rejestracji jest dostępna w wielu językachniezależnie od statusu imigracyjnego. Twoje informacje będątraktowane jako poufne.Zadzwoń pod numer 311W przypadku ogólnych pytań na temat ubezpieczenia zdrowotnegooraz w celu znalezienia doradcy osobistego.",Zadzwoń do biura NY State of Health pod numer855-355-5777lub TTY:800-662-1220.,
