unique_id_number,program_description,plain_language_program_name,brief_excerpt,plain_language_eligibility,how_to_apply_summary,program_code,government_agency,get_help_by_calling_other,apply_by_mail_call_to_action
P011r,"Qualified Health Plans — это планы частного медицинскогострахования, по условиям которых вам необходимо ежемесячно вноситьопределенную сумму за страховое покрытие. Помимо этого есть расходыза счет собственных средств, включаядополнительныеплатежи, франшизы и взносы совместного страхования (https://www.nyc.gov/site/ochia/coverage-care/insurance-a-z.page#C) .",Планы частного медицинского страхования,"Qualified Health Plans — это планы медицинскогострахования, по условиям которых вам необходимо ежемесячно вноситьопределенную сумму за страховое покрытие.","Зарегистрироваться в плане Qualified Health Plan может ктоугодно.\nБольшинствоиммигрантов могут зарегистрироваться на бирже NY State of Health.Финансовая помощь — доступна.\nКто угодноможет приобрести полис частного медицинского страхованиянепосредственно в страховой компании, позвонив в такую компанию илипосетив ее веб-сайт.","Подавайте заявление через NY State ofHealthЛица в возрасте до 65 лет, беременные женщины с низким доходом идети должны подавать заявку на медицинское страхование через NYState of Health.\nПодавайте заявление онлайн через NY State of Health (https://nystateofhealth.ny.gov/) .\nПодавайте заявление лично через (https://nystateofhealth.ny.gov/agent/hx_brokerSearch?fromPage=INDIVIDUAL) консультанта службымедицинского страхования (https://www1.nyc.gov/assets/ochia/downloads/pdf/facilitated-enrollers.pdf) .\nПозвоните по номеру телефона: 855-355-5777 (https://www.health.ny.gov/forms/doh-4220.pdf) илителетайпа: 800-662-1220 (https://www.health.ny.gov/forms/doh-5178a.pdf) .Подавайте заявление через HRAСледующие группы людей могут подавать заявления на Medicaid идругие программы через HRA:\nлица старше 65 лет;\nлица, получающие пособие Medicare и не являющиеся родителем илиопекуном, осуществляющим уход за несовершеннолетними детьми;\nлица с инвалидностью и (или) слепотой;\nлица младше 26 лет, ранее находившиеся на патронатномвоспитании.Для подачи заявления:\nОбратитесь к посреднику.\nПозвоните на горячую линию HRA Helpline по номеру888-692-6116.Отправьте заявление на Medicaid по почтеПодайте заявление на Medicaid по почте, если вы входите в однуиз следующих категорий:\nстарше 65 лет;\nимеете слепоту, подтвержденную документально;\nимеете инвалидность, подтвержденную документально;\nнаходитесь в доме престарелых и подаете заявление насоответствующее страхование.Заполните заявление и дополнительную форму А. Отправьтезаявление по такому адресу:MAP Initial Eligibility UnitPO Box 24390,Brooklyn, NY 11202",S2R011,NY State of Health,,
P010k,도움이 필요할 때 가족이 현금을 받으실 수 있습니다. 많은 가족이 직불카드에 자금을 충전받아 EBT 카드를 받는 ATM이나 상점에서 사용할 수 있습니다. 일부 가족은 임대주에게 바로 지불되는 자금을 받을 자격만 인정될 수 있습니다.,필요할 경우 월 현금 보조금액,"현금 보조금은 임대료, 공과금 및 기타 비상 지출 비용 지불에 도움이 될 수 있습니다.",\n이 프로그램에서는 자격 조건에 부합하는지 결정하기 위해 몇 가지 사항을 확인합니다. 그 중 몇 가지는 다음과 같습니다.소득 금액\n수혜 금액\n가구 구성원 수\n현금이나 당좌 예금 계좌와 같은 자금원,"온라인 신청\n (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (http://www.nyc.gov/accesshramobile) 에 신청. ACCESS HRA 현금 지원 신청서를 통해 현금 지원, SNAP 및 Medicaid 갱신을 신청하실 수 있습니다.\n (http://www1.nyc.gov/site/hra/locations/job-locations.page) ACCESS HRA 모바일 앱 (https://otda.ny.gov/programs/applications/2921-KO.pdf) 을 사용하여 신청 진행 상황을 추적하거나 문서를 제출할 수 있습니다.\n전화 인터뷰를 위해 귀하에게 연락할 것입니다. HRA 센터 (http://www1.nyc.gov/site/hra/locations/job-locations.page) 를 방문하여 대면 인터뷰를 할 수도 있습니다.우편으로 신청\n (http://www1.nyc.gov/site/hra/locations/job-locations.page) 신청서를 인쇄하여 (http://www1.nyc.gov/site/hra/locations/job-locations.page) 작성해주십시오.\nHRA 직업 센터에 우편으로 보내거나 센터의 우편함에 넣으십시오.\n전화 인터뷰를 위해 귀하에게 연락할 것입니다. HRA 센터를 방문하여 대면 인터뷰를 할 수도 있습니다.방문 신청영업 중인 HRA 직업 센터를 방문하여 신청하십시오. 귀하의 신분, 거주 지역, 함께 사는 사람, 소득 등에 대한 증빙 서류를 가져오시면 도움이 됩니다. 어떤 증빙 자료를 반드시 제공해야 하는지는 담당 복지사가 알려 드립니다.",S2R010,NYC 인적자원부,HRA 인포라인(Infoline)에 전화 자세한 정보를 알고 싶으시면 HRA 안내 전화에 718-557-1399번으로 전화하십시오.,양식 다운로드
P008r,"Программы раннего развития Head Start обеспечивают детям в возрасте 3–4 лет безопасные и благоприятные условия для обучения, игр и развития навыков в рамках подготовки к дошкольному и дальнейшему обучению. В рамках программ Head Start детям и их семьям также предоставляются услуги в области здравоохранения, питания и др.",Обучение и уход за детьми в возрасте 3–4 лет из малообеспеченных семей,Услуги в рамках программ Head Start предоставляются бесплатно и круглый год (по крайней мере восемь часов в день).,"Лучший способ узнать, соответствует ли ваша семья требованиям для участия в программе Head Start, — напрямую связаться с представителями программы. Ваша семья может претендовать на участие в программе, если к вам относится один или несколько пунктов:\nВы проживаете во временном жилище.\nВы получаете (https://access.nyc.gov/ru/programs/cash-assistance/) денежное пособие HRA (https://access.nyc.gov/ru/programs/supplemental-nutrition-assistance-program-snap/) \nВы получаете пособие по программе SNAP\nВы получаете дополнительный доход по социальному обеспечению (Supplemental Security Income, SSI).\nВы зачисляете в программу ребенка, который находится на патронажном воспитании.\nВаш семейный доход ниже указанных далее сумм.\nРазмер семьи|Годовой доход\n2|$21,500\n3|$26,650\n4|$32,150\n5|$37,650\n6|$43,150\n7|$48,650\n8|$54,150\n9|$59,650\n10|$65,150\nЗа каждого дополнительного человека:|Прибавьте $5,500\nВ некоторых случаях ваша семья может иметь право на участие в программе Head Start, даже если ваш доход превышает установленный лимит.\nНапример, если на оплату жилья у вас уходит более 30 % дохода, программа Head Start позволяет пересчитать ваш доход с учетом этих расходов, чтобы определить соответствие критериям. Вы должны представить соответствующие документы, чтобы сотрудники программы Head Start могли оценить вашу ситуацию.","Чтобы найти программу Head Start и подать заявление на участие:\nПосетите портал MySchools (программы для детей от 3 лет) (https://www.myschools.nyc/en/schools/3k/) или MySchools (программы для детей дошкольного возраста) (https://www.myschools.nyc/en/schools/pre-k/) .\nНажмите «More Filters» (Дополнительные фильтры). Установите флажок перед пунктом Head Start в разделе Year-Round 3-K / Pre-K Programs (Круглогодичные программы для детей в возрасте 3 лет и дошкольного возраста).\nВведите свой домашний адрес, чтобы найти программы, предлагаемые поблизости.\nСвяжитесь с представителями программы, которая вас заинтересовала.",S2R008,"Департамент образования (Department of Education, DOE) г. Нью-Йорка",,
P005k,DRIE는 자격을 갖춘 장애인 세입자를 대상으로 임대료를 동결하여 저렴한 주택에 머무를 수 있도록 도와줍니다. 세입자는 동결된 임대료를 지급합니다. 부동산 세금 공제액을 통해 실제 임대료와 동결된 임대료의 차액을 해결합니다.,장애인 임대료 동결,지원 대상 뉴욕 주민들이 거주 중인 주택에서 계속 거주할 수 있도록 지원하는 임대료 동결 프로그램,"DRIE를 받으려면 다음 질문 모두에 ""Yes""라고 응답할 수 있어야 합니다.\n귀하는 18세 이상이십니까?\n임대차 계약서상 임차인이 본인입니까?\n귀하의 총 가구 소득이 연 $50,000 이하입니까?\n임대료가 월 소득 지출의 1/3을 초과합니까?\n다음 혜택으로부터 발생하는 소득이 있습니까?\n보충적 보장 소득(Supplemental Security Income, SSI)\n연방 사회 보장 장애 보험(Federal Social Security Disability Insurance, SSDI)\nU.S. Department of Veterans Affairs(VA) 장애 연금 또는 보상\n이전에 SSI 또는 SSDI를 수령한 경우 장애 관련 Medicaid\nNYC에서 다음 유형 중 하나의 주택에서 거주하고 계십니까?\n임대료 안정화 아파트\n임대료 규제 아파트\nMitchell-Lama 개발\nLimited Dividend 개발\n재개발 회사 개발\nHousing Development Fund Company(HDFC) Cooperative 개발\n섹션 213 조합식 공동주택\n임대 규제 호텔 또는 싱글 룸 거주 가구","온라인처음 DRIE를 신청하는 경우 온라인 (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) 으로 신청할 수 있습니다.DRIE 신청을 위한 (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) 가상 면담 일정 (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) 을 잡으십시오.우편\n (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) 최초 신청서를 인쇄하여 작성해주십시오. DRIE 지원 센터에서 신청서를 수령하거나 311번으로 전화하여 신청서를 우편으로 받을 수 있도록 요청할 수 있습니다.\n작성을 완료하고 서명한 신청서를 증빙 서류와 함께 다음으로 보내주십시오:Rent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083직접 방문신청을 위해 가까운재무 지원 센터 부서(Department of Finance Assistance Center)를 찾아보십시오. 센터 방문 예약을 해야 할 수 있습니다.전화주택 개발 기금 공사(Housing Development Fund Corporation) 아파트에 거주하시는 경우 전화 212-863-8494로 HPD에 전화하여 DRIE를 신청하십시오.",S2R005,"뉴욕시 재무부(NYC Department of Finance, DOF); 뉴욕시 주택 보존 및 개발부(NYC Housing Preservation and Development, HPD)",TTY로 DRIE에 전화난청이 있으신 경우 212-639-9675번으로 전화해 주십시오.,양식 다운로드
P014r,"В рамках Программы льгот для пожилых домовладельцев (Senior Citizens Homeowners' Exemption, SCHE) снижаются налоги на недвижимость для пожилых людей, которые имеют во владении от одного до трех домов, кондоминиумов или кооперативных квартир и соответствуют требованиям по уровню дохода.",Программа налоговых льгот для пожилых домовладельцев,Пожилые люди могут получить частичное освобождение от уплаты налогов на недвижимость.,"Вы соответствуете критериям получения льгот по программе SCHE, только если можете утвердительно ответить на все приведенные ниже вопросы.\nВсе ли владельцы недвижимости в возрасте 65 лет и старше?  Или если вы владеете недвижимостью совместно с супругом (супругой), родными братом или сестрой, есть ли среди вас кто-нибудь в возрасте 65 лет и старше?\nЯвляется ли недвижимость вашим основным местом жительства?\nСовокупный доход всех владельцев меньше или равен 58 399 $?\nДоход НЕ включает пособия SSI или денежные пособия.\nВладеете ли вы недвижимостью не менее 12 месяцев?","Подайте заявление до 15 марта, чтобы начать пользоваться льготами с 1 июля этого года. Если 15 марта выпадает на выходной или праздничный день, крайним сроком считается следующий рабочий день.\nПодача заявления через Интернет: (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_SCHE) заполните заявление онлайн (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_SCHE_COOP) . Если вы живете в кооперативе, используйте форму (https://www1.nyc.gov/assets/finance/downloads/pdf/translations/sche_initial/sche-initial-rus.pdf) заявления SCHE для кооперативов (http://www1.nyc.gov/site/finance/pay-now/person.page) .\nПодача заявления по почте: (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) загрузите и распечатайте заявление об освобождении или позвоните по номеру 311, чтобы запросить отправку бумажной копии вам на адрес. Отправьте заполненное заявление и документы по такому адресу: New York City Department of Finance Homeowner Tax Benefits P.O. BOX 311 Maplewood, NJ 07040-0311\nПодача заявления лично: придите в отделение Департамента финансов в бизнес-центре.При подаче заявления вам понадобится информация о районе, блоке и лоте (Borough-Block-Lot, BBL) вашего дома.Для получения этой информации воспользуйтесь поиском по адресу недвижимости.",S2R014,NYC Департамент финансов,Позвоните в программу SCHEПозвоните по номеру 212-NEW-YORK. Пользователи телетайпа или текстового телефона могут позвонить по номеру 212-639-9675.,Скачайте бланк
P014p,"Zwolnienie starszych właścicieli domów (Senior Citizen Homeowners’ Exemption, SCHE) obniża podatki od nieruchomości seniorów, którzy posiadają od jednego do trzech domów, apartamentów lub mieszkań spółdzielczych i spełniają wymogi dotyczące dochodów.",Ulga podatkowa od nieruchomości dla starszych właścicieli domów,Seniorzy mogą uzyskać częściowe zwolnienie z podatku od nieruchomości.,"Aby móc skorzystać z SCHE, trzeba być w stanie odpowiedzieć twierdząco na wszystkie poniższe pytania:\nCzy wszyscy właściciele nieruchomości mają 65 lat lub więcej?  Lub, jeśli jesteś współwłaścicielem nieruchomości wraz z małżonkiem lub rodzeństwem, czy jedno z Was ma 65 lat lub więcej?\nCzy nieruchomość jest Twoim głównym miejscem zamieszkania?\nCzy łączny dochód wszystkich właścicieli jest mniejszy lub równy 58 399 USD?\nDo dochodu NIE wlicza się zapomogi uzupełniającej ani pomocy pieniężnej.\nCzy jesteś właścicielem nieruchomości od co najmniej 12 miesięcy bez przerwy?","Wniosek należy złożyć do 15 marca, aby uzyskać świadczenia od 1 lipca tego samego roku. Jeśli 15 marca wypada w weekend lub święto, termin upływa następnego dnia roboczego.\nZłóż wniosek online: (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_SCHE) Należy wypełnić wniosek online (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_SCHE_COOP) . W przypadku mieszkania w mieszkaniu spółdzielczym wniosek można złożyć, korzystając z (https://www1.nyc.gov/assets/finance/downloads/pdf/translations/sche_initial/sche-initial-poli.pdf) wniosku SCHE dla mieszkań spółdzielczych (http://www1.nyc.gov/site/finance/pay-now/person.page) .\nZłóż wniosek pocztą: (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) Należy pobrać i wydrukować wstępny wniosek o zwolnienie lub zadzwonić pod numer 311, aby otrzymać go pocztą. Wypełniony wniosek oraz dokumenty należy wysłać do: New York City Department of Finance Homeowner Tax Benefits P.O. BOX 311 Maplewood, NJ 07040-0311\nZłóż wniosek osobiście: Przyjdź do Centrum Biznesowego Wydziału Finansów.Przy składaniu wniosku należy podać dzielnicę, blok i działkę (BBL), w której znajduje się dom. Należy skorzystać z wyszukiwarki adresów nieruchomości, aby uzyskać te informacje.",S2R014,NYC Departament Finansów,"Zadzwoń do SCHENależy zadzwonić pod numer 212-NEW-YORK. Aby skorzystać z usługi TTY lub telefonu tekstowego, należy zadzwonić pod numer 212-639-9675",Pobierz formularz
P004p,"Przy wypełnianiu zeznań podatkowych za 2024 rok rodziny mogą ubiegać się o tę ulgę podatkową o wartości do $2,000 za każde kwalifikujące się dziecko w wieku poniżej 17 lat. Kwota do $1,700 podlega zwrotowi, co oznacza, że możesz otrzymać pieniądze, nawet jeśli podatek nie jest należny.",Ulga podatkowa dla rodzin z dziećmi,"Przy wypełnianiu zeznań podatkowych za 2024 rok rodziny mogą ubiegać się o tę ulgę podatkową o wartości do $2,000 za każde kwalifikujące się dziecko w wieku poniżej 17 lat.","Musisz spełnić poniższe wymagania, aby kwalifikować się do ulgi za rok podatkowy 2024.\nZarobiłeś(-aś) do 200 000 USD lub do 400 000 USD, jeśli zeznanie podatkowe wypełniasz ze współmałżonkiem (współmałżonką).\nDo ulgi podatkowej można zgłosić dziecko, jeśli:\nnie ma ono więcej niż 16 lat;\nDziecko musi mieć numer ubezpieczenia społecznego (Social Security Number, SSN) lub adopcyjny numer identyfikacji podatkowej (Adoption Tax Identification Number, ATIN). Osoba składające zeznanie może wykorzystać albo numer SSN albo indywidualny numer identyfikacji podatnika (Individual Taxpayer Identification Number, ITIN).\nDzieckiem uprawniającym do ulgi może być syn, córka, pasierb/pasierbica, kwalifikujące się dziecko przysposobione, brat, siostra, brat przyrodni, siostra przyrodnia bądź potomek któregokolwiek z nich (na przykład wnuk, siostrzenica lub siostrzeniec)\nDziecko lub osoba pozostająca na Twoim utrzymaniu musi mieszkać z Tobą przez ponad pół roku w Stanach Zjednoczonych i z tego tytułu zgłaszasz je w swoim zeznaniu podatkowym jako osobę pozostającą na utrzymaniu.\nTwoje dziecko nie może zapewnić Ci więcej niż połowy wsparcia finansowego.","Aby ubiegać się o ulgę CTC, należy złożyć formularz 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) lub (https://www.irs.gov/forms-pubs/about-form-1040-nr) formularz 1040NR (https://www.getctc.org/en) .Jeśli nie masz obowiązku składania deklaracji podatkowej, nadal możesz ubiegać się o ulgę na dziecko za rok 2021, wypełniając uproszczoną deklarację podatkową na stronie getctc.org (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) .Jeśli w 2021 roku zarobiłeś(-aś) 72 000 USD lub mniej, możesz nieodpłatnie złożyć swoje zeznanie podatkowe za pośrednictwem usługi bezpłatnego sporządzania deklaracji podatkowych w mieście Nowy Jork (NYC Free Tax Prep). Pomoc w składaniu zeznania oferują wolontariusze VITA/TCE certyfikowani przez Urząd Skarbowy.\nPrzygotowanie zeznania przez asystenta podczas wirtualnego spotkania: Asystent pomoże Ci złożyć zeznanie podatkowe podczas rozmowy wirtualnej trwającej 60–90 minut.\nPomoc w samodzielnym przygotowaniu zeznania: Wypełnij swoje zeznanie podatkowe samodzielnie. W razie pytań możesz skonsultować się przez telefon lub e-mail z asystentem.\nUsługa odbioru: Przekaż swoje dokumenty podatkowe i odbierz gotowe zeznanie w późniejszym terminie\nOsobiście: Zleć bezpłatne sporządzenie rozliczenia podatkowego w jednej z placówek przygotowujących rozliczenia podatkowe w Twojej okolicy.",S2R004,Nowojorski Wydział ds. Ochrony Konsumentów i Pracowników (DCWP) / Urząd Skarbowy (IRS),"Zadzwoń pod numer800-906-9887, aby znaleźć najbliższą placówkę oferującą pomoc w rozliczaniu podatku dochodowego (Volunteer Income Tax Assistance, VITA) lub doradztwa podatkowego dla osób starszych (Tax Counseling for the Elderly, TCE).",
P001b,"শিশু ও নির্ভরশীল পরিচর্যা কর ক্রেডিট আপনাকে একজন শিশু বা প্রাপ্তবয়স্ক নির্ভরশীলের পরিচর্যা করার খরচের 50% পর্যন্ত ফেরত দেয়। আপনার 2024 সালের ট্যাক্স রিটার্নে, আপনি একজন যোগ্য ব্যক্তির পরিচর্যার খরচের জন্য $3,000 এবং দুই বা ততোধিক যোগ্য ব্যক্তির পরিচর্যার জন্য $6,000 পর্যন্ত দাবি করতে পারবেন।",কর রিফান্ড যদি আপনি শিশু বা নির্ভরশীল ব্যক্তির পরিচর্যার জন্য অর্থপ্রদান করে থাকেন,আপনি কাজ করার সময় বা কাজের সন্ধান করার সময় শিশু পরিচর্যা বা প্রাপ্তবয়স্কদের নির্ভরশীল পরিচর্যার জন্য অর্থ প্রদান করে থাকলে টাকা ফেরত পান।,,"ক্রেডিট ক্লেইম করতেgetyourrefund.org (https://www.getyourrefund.org/) -এ বিনামূল্যে আপনার ফেডারেল কর জমা দিন। যদি আপনার ট্যাক্স রিটার্ন ডাকযোগে পাঠান, তাহলেফর্ম 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) পূরণ করুন এবংফর্ম 2441 (https://www.irs.gov/pub/irs-pdf/f2441.pdf) অন্তর্ভুক্ত করুন। আপনি অনলাইনে, ব্যক্তিগতভাবে অথবাNYC ফ্রি ট্যাক্স প্রেপ (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) এর মাধ্যমে আপনার নথি জমা দিয়ে বিনামূল্যে ট্যাক্স ফাইলিংয়ে সহায়তা পেতে পারেন।",S2R001,"NYC উপভোক্তা ও কর্মী-সুরক্ষা বিভাগ (Department of Consumer and Worker Protection, DCWP) / আভ্যন্তরীণ রাজস্ব পরিষেবা (Internal Revenue Service, IRS)","নিকটতম স্বেচ্ছাসেবক আয়কর সহায়তা (Volunteer Income Tax Assistance, VITA) বা বয়স্কদের জন্য ট্যাক্স কাউন্সেলিং (Tax Counseling for the Elderly, TCE) খুঁজতে800-906-9887নম্বরে ফোন করুন।",
P007r,"Получите помощь в оплате продуктов питания от программы SNAP, ранее известной как программа выдачи продовольственных талонов. Средства зачисляются на дебетовую карту, которую можно использовать во многих продуктовых магазинах и на фермерских рынках.",Деньги на покупку продуктов питания,Пособия в рамках программы SNAP помогут вам обеспечить вашу семью свежими и полезными продуктами питания.,"\nЭта программа рассматривает несколько факторов, чтобы решить, имеете ли вы право на участие. Они включают:ваш заработок;\nваш доход от пособий;\nколичество членов Вашей семьи","Подать заявление на участие в программе SNAP можно несколькими способами:\nПодать заявление онлайн на портале (https://a069-access.nyc.gov/ACCESSNYC/application.do) ACCESS HRA (https://www1.nyc.gov/site/hra/locations/locations.page) . Вы можете одновременно подать заявление на получение денежной помощи, SNAP и продление Medicaid.\nПодайте заявление лично в любом центре SNAP (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) или в участвующей общественной организации (https://www1.nyc.gov/site/hra/locations/job-locations.page) (CBO).\nЕсли вы подаете заявление на получение денежной помощи, вы можете одновременно подать заявление на получение пособия по программе SNAP в Центр трудоустройства Управления трудовыми ресурсами (HRA Job Center) (http://otda.ny.gov/programs/applications/4826.pdf) .\nПодача заявления по почте или факсу: загрузите заявление или позвоните на информационную линию HRA по номеру 718-557-1399, чтобы вам отправили образец на адрес. Отправьте заполненное заявление на номер 917-639-1111 или на адрес:Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O. Box 24510 Brooklyn, NY, 11201",S2R007,"Управление по трудовым ресурсам (Human Resources Administration, HRA) г. Нью-Йорка","Позвоните в HRA Для получения дополнительной информации позвоните на соответствующую линию Управления по трудовым ресурсам (Human Resources Administration, HRA) по номеру 718-557-1399.",Загрузить форму
P013c,第 8 節為想要透過自由市場租屋的中低收入家庭補助部分租金。 這一計畫的資格是根據家庭收入及家庭人口計算的。 一般來說，此類家庭支付的租金不會超過月收入的 40%。 NYCHA 會向業主支付剩餘租金。,為您分擔部分租金的補助券,第 8 節為想要透過自由市場租屋的中低收入家庭補助部分租金。,"申請第 8 節/NCV 計畫的資格主要取決於您的家庭收入和家庭人口。\n家庭人口數|年收入\n1|$56,700\n2|$64,800\n3|$72,900\n4|$81,000\n5|$87,500\n6|$94,000\n7|$100,450\n8|$106,950\n",NYC 第 8 節住房選擇憑據計畫的申請目前已關閉。,S2R013,NYC 住房管理局,"如有疑問請隨時致電 請致電718-707-7771與 NYCHA 的客戶聯絡中心 (Customer Contact Center, CCC) 聯繫。",
P010b,আপনার প্রয়োজন হলে আপনার পরিবার নগদ টাকা পেতে পারেন। অনেক পরিবার অর্থটি একটি ডেবিট কার্ডে পাবেন যা যেকোনো এটিএম বা দোকানে ব্যবহার করা যেতে পারে যেখানে EBT কার্ড গ্রহণ করা হয়। কিছু পরিবার শুধুমাত্র তাদের বাড়িওয়ালাকে সরাসরি অর্থ প্রদান করার যোগ্যতা অর্জন করতে পারেন।,আপনার প্রয়োজন অনুযায়ী মাসিক নগদ সাহায্য,"নগদ সহায়তা আপনাকে ভাড়া, ইউটিলিটি এবং অন্যান্য জরুরি খরচগুলি দিতে সাহায্য করতে পারে।",\nআপনি যোগ্য কিনা তা নির্ধারণ করতে এই কর্মসূচি বেশ কয়েকটি বিষয় দেখে। তার মধ্যে এগুলি অন্তর্ভুক্ত রয়েছআপনি কত টাকা উপার্জন করেন\nসুবিধাগুলি থেকে আপনি কত টাকা পাচ্ছেন\nআপনার বাড়িতে কতজন লোক বাস করেন\nনগদ বা চেকিং অ্যাকাউন্টের মতো সংস্থানসমূহে:,"অনলাইনে আবেদন করুন\n (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (http://www.nyc.gov/accesshramobile) -এ আবেদন করুন আপনি নগদ সহায়তা আবেদনের মাধ্যমে একই সময়ে নগদ সহায়তা, SNAP, এবং Medicaid রিনিউয়ের জন্য আবেদন করতে পারেন।\nআপনার আবেদনের প্রগতি জানতে বা নথি জমা দিতে (http://www1.nyc.gov/site/hra/locations/job-locations.page) ACCESS HRA মোবাইল অ্যাপ (https://otda.ny.gov/programs/applications/2921-BE.pdf) ব্যবহার করুন।\nআপনাকে ফোন ইন্টারভিউয়ের জন্য যোগাযোগ করা হবে। এছাড়াও আপনি সরাসরি ইন্টারভিউয়ের জন্যHRA কেন্দ্রে (http://www1.nyc.gov/site/hra/locations/job-locations.page) আসতে পারেন।ডাকযোগে আবেদন করুন\n (http://www1.nyc.gov/site/hra/locations/job-locations.page) আবেদনপত্রটি (http://www1.nyc.gov/site/hra/locations/job-locations.page) প্রিন্ট করে সম্পূর্ণ করুন।\nডাকযোগে পাঠান বা যেকোনো HRA নিয়োগ কেন্দ্রজমা দিন।\nআপনাকে ফোন ইন্টারভিউয়ের জন্য যোগাযোগ করা হবে। এছাড়াও আপনি সরাসরি ইন্টারভিউয়ের জন্যHRA কেন্দ্রে আসতে পারেন।সশরীরে আবেদন করুনআবেদন করতে কোনো খোলাHRA নিয়োগ কেন্দ্রেযান। যদি আপনি পরিচয়পত্র, বাসস্থান, কারা সঙ্গে বসবাস করেন এবং আপনার আয় সম্পর্কিত প্রমাণ সঙ্গে নিয়ে আসেন তাহলে আপনার সুবিধা হবে। এই বিষয়গুলির কোনটি আপনাকে প্রমাণ করতে হবে তা একজন কর্মী বলে দেবেন।",S2R010,NYC মানব সম্পদ প্রশাসন,HRA ইনফোলাইনে কল করুন বিস্তারিত তথ্যের জন্য HRA ইনফোলাইনে 718-557-1399 নম্বরে ফোন করুন।,ফর্মটি ডাউনলোড করুন
